,Main Category,Child Category,GrandChild Category,Prompt,Translate
2145,Perspective,Views,,Aerial View,鸟瞰图
2146,Perspective,Views,,View From an Airplane,从飞机上看风景
2147,Perspective,Views,,Closeup,特写镜头
2148,Perspective,Views,,Extreme Closeup,极端特写
2149,Perspective,Views,,Shot,射击
2150,Perspective,Views,,Selfie,自拍
2151,Perspective,Views,,Field of View,视野
2152,Perspective,Angles,,Low Angle,低角度
2153,Perspective,Angles,,High Angle,高角度
2154,Perspective,Perspective and Projections,,Perspective,透视
2155,Perspective,Perspective and Projections,,Panini Projection,帕尼尼投影仪
2156,Perspective,Perspective and Projections,,Orthographic,正字法
2157,Perspective,Perspective and Projections,,Axonometric,轴测法
2158,Perspective,Perspective and Projections,,Miniature Faking,迷你版造假
2159,Perspective,Perspective and Projections,,Brenizer Method,Brenizer方法
2160,Perspective,Perspective and Projections,,Accelerated Perspective,加速的视角
2161,Perspective,Perspective and Projections,,Linear Perspective,线性透视
